"Subject","Model","Beta_Frequency","Beta_Semantic","Beta_Phonological","Negative_Log_Likelihood_Optimized","version","k","n","BIC"
801,"forage_dynamic_multimodal_alpha=0.7000000000000001",6.21715477412165,4.01355780492002,NA,93.411505822625,"V1",2,17,192.489438333362
802,"forage_phonologicaldynamiclocal_delta_rise=0.75_fall=0.0",4.64814522236879,9.01162274924136,-3.23138393134485,76.387601376868,"V1",3,13,160.470050826121
803,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.5_fall=0.5",3.95846898694128,14.9836687468983,-3.51559761315763,99.6271743125642,"V1",3,21,208.387915938299
804,"forage_phonologicaldynamicglobal_troyerextended",4.39491897565216,5.78929788880434,-0.195341210042873,139.031331469101,"V1",3,24,287.596824429246
805,"forage_phonologicaldynamicglobal_multimodaldelta_alpha=0.9_rise=0.25_fall=1.0",6.84204434759753,5.8056659782435,-0.285377414524748,92.7071432397661,"V1",3,17,193.913926511701
806,"forage_phonologicaldynamicglobal_multimodaldelta_alpha=0.4_rise=1.0_fall=1.0",3.20834534805194,6.2096548970629,-0.228871862876825,128.731514256737,"V1",3,22,266.736155873549
807,"forage_dynamic_multimodal_alpha=0.7000000000000001",4.27257290915335,4.29213470928775,NA,161.975243486405,"V1",2,27,330.542160704819
808,"forage_phonologicalstatic",3.87702006838549,6.00336936578729,-0.335175286805798,134.837754076906,"V1",3,25,279.332135628417
809,"forage_phonologicalstatic",4.36976720263537,4.82085891212939,-0.130795615203659,125.204662588936,"V1",3,22,259.682452537948
810,"forage_dynamic_multimodal_alpha=0.9",8.61034009072332,3.71826069929657,NA,40.3966472411971,"V1",2,8,84.952177565754
811,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.8_rise=0.0_fall=0.75",4.23532856939872,6.03152514241411,-0.267079099015193,83.4789129853116,"V1",3,15,175.08197657393
812,"forage_dynamic_troyerextended",2.57288426104307,5.0662714055349,NA,149.587406391072,"V1",2,25,305.612564431881
813,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.5_rise=1.0_fall=1.0",5.24380554814024,3.76140774038624,0.744325863616004,114.819881828058,"V1",3,19,238.473080593616
814,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.75_fall=0.75",3.56125067879816,7.03362685502943,-0.277431072926041,135.589618566558,"V1",3,23,280.585719780903
815,"forage_phonologicaldynamiclocal_delta_rise=1.0_fall=1.0",4.93752823440171,5.94631107115553,-0.250788614971494,124.416981392784,"V1",3,21,257.967530098738
816,"forage_phonologicaldynamicswitch_multimodal_alpha=0.8",4.28044359465169,5.09385746134773,-0.301532172913251,133.745664682689,"V1",3,24,277.025490856423
818,"forage_dynamic_multimodaldelta_alpha=1.0_rise=0.75_fall=0.75",5.93200772340636,4.31743198067258,NA,122.493146008972,"V1",2,20,250.977756565052
819,"forage_phonologicaldynamicglobal_multimodaldelta_alpha=1.0_rise=1.0_fall=0.75",7.5886445376401,5.24919121165243,-0.209720014305641,92.115430115423,"V1",3,18,192.901975504535
820,"forage_phonologicaldynamicglobal_multimodal_alpha=0.9",5.77080370785575,6.58577225828965,-0.25619973770413,158.163976953857,"V1",3,31,326.629915521169
821,"forage_dynamic_multimodaldelta_alpha=0.8_rise=0.25_fall=1.0",6.36777348881928,4.00729112266123,NA,112.245282603636,"V1",2,20,230.482029754379
822,"forage_phonologicaldynamiclocal_multimodal_alpha=0.8",3.85736623849842,6.12112102412299,-0.264278665495769,139.349137549676,"V1",3,24,288.232436590396
823,"forage_phonologicaldynamicswitch_multimodaldelta_alpha=0.7000000000000001_rise=0.5_fall=1.0",4.899872973588,3.77250641316336,-2.49128903697279,143.200560202762,"V1",3,24,295.935281896568
824,"forage_phonologicaldynamicglobal_multimodal_alpha=0.0",5.32574918300011,5.27261673831772,-0.212887981118044,102.263394531797,"V1",3,19,213.360106001093
825,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=0.0_fall=0.75",4.42797680139739,6.16964809523624,-0.237189295328967,141.682843051073,"V1",3,25,293.022313576751
826,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.75_fall=0.5",5.17470038839845,8.53202942392153,-0.557684881805437,98.1329589175697,"V1",3,18,204.937033108828
827,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=0.5_fall=0.0",4.50496465252762,7.96662321759341,-0.384600553591196,118.198292069808,"V1",3,21,245.530151452787
828,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=1.0_fall=0.0",7.29508280809553,12.9218600483532,-2.9332429499239,120.941334945315,"V1",3,24,251.416831381674
829,"forage_phonologicaldynamicglobal_multimodaldelta_alpha=0.9_rise=0.75_fall=1.0",5.28371155008739,5.33923891285264,-0.214785045618172,82.7269114627524,"V1",3,15,173.577973528811
830,"forage_phonologicaldynamiclocal_simdrop",5.98124889714876,4.65528913715256,-0.208892632261367,166.839088280144,"V1",3,29,343.780064050248
831,"forage_phonologicaldynamicswitch_multimodal_alpha=0.5",6.72263292667619,4.16165507476124,-2.59123810547566,121.279271011644,"V1",3,23,251.965024671076
832,"forage_phonologicaldynamiclocal_simdrop",7.05232542534434,7.03917093012689,-0.408142945420841,83.3444934544552,"V1",3,17,175.188626941079
833,"forage_static",5.52598552518366,4.22655257274946,NA,71.2247872671646,"V1",2,13,147.579473249252
834,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.5_fall=0.5",7.95878354386654,9.73634530337026,-2.61906186189528,85.4714876878513,"V1",3,16,179.260741542422
835,"forage_phonologicaldynamiclocal_delta_rise=0.75_fall=1.0",5.28080633512032,8.71984639944289,-2.72409376713142,103.064093123636,"V1",3,18,214.799301520961
837,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=0.0_fall=0.75",5.05191227321261,7.1589319314026,-0.331958047340714,129.017639064267,"V1",3,24,267.569439619578
838,"forage_phonologicaldynamiclocal_delta_rise=0.0_fall=1.0",7.18795754978191,6.09796923628119,-0.292789693953274,102.987763796506,"V1",3,21,215.109094906183
839,"forage_phonologicaldynamicglobal_simdrop",6.59283217683469,6.06965488553125,-0.190077427449759,115.998117858344,"V1",3,23,241.402718364476
840,"forage_phonologicaldynamiclocal_troyerextended",3.85657536466707,7.14166123285767,-0.344422158504722,158.24773287804,"V1",3,27,326.382976354093
841,"forage_phonologicaldynamiclocal_delta_rise=0.25_fall=1.0",4.82147816710751,5.6668835744414,-0.225768202957663,162.596536755165,"V1",3,29,335.29496100029
842,"forage_dynamic_delta_rise=0.0_fall=1.0",5.08012651336734,4.38953989691448,NA,125.734917565728,"V1",2,22,257.651920038174
843,"forage_phonologicaldynamiclocal_multimodal_alpha=1.0",4.49459754584663,5.30854882731664,-0.206775589290411,110.919512394876,"V1",3,19,230.672341727252
844,"forage_phonologicaldynamiclocal_troyerextended",6.17533258042465,7.23849389947247,-0.353167833068323,148.68348982814,"V1",3,28,307.363593186806
845,"forage_phonologicaldynamicswitch_multimodaldelta_alpha=0.5_rise=1.0_fall=1.0",6.54541247154625,3.43923293534444,-2.81013309436578,80.7681447418572,"V1",3,14,169.45346147256
846,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=0.25_fall=0.25",4.06583921941879,5.75625639061864,-0.244409147825852,184.569255358393,"V1",3,30,379.342102861773
847,"forage_phonologicaldynamicglobal_multimodal_alpha=0.1",5.00420727785742,5.82408473843353,-0.161975592926472,137.405411379715,"V1",3,25,284.467450234035
848,"forage_dynamic_delta_rise=0.75_fall=1.0",4.48321884110517,5.44650632378116,NA,154.953116006502,"V1",2,30,316.708626776328
849,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=1.0_rise=0.75_fall=0.75",5.40663392644347,6.24835164302486,-0.365156114233537,149.282630096185,"V1",3,26,308.339549806435
850,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.0_rise=0.0_fall=0.75",4.16796933289462,0.560373024138596,1.33589881078119,63.7034879535714,"V1",3,10,134.314731186125
851,"forage_dynamic_multimodal_alpha=0.8",0.156010946592195,4.98742913432021,NA,203.564623062248,"V1",2,31,413.997220533467
852,"forage_phonologicaldynamiclocal_multimodal_alpha=1.0",4.32965598140326,5.55940346114678,-0.235357086084016,151.164718877344,"V1",3,25,311.986065229293
853,"forage_phonologicaldynamiclocal_troyerextended",5.04533741653795,8.49753129144695,-2.58802710758262,48.4831607238781,"V1",3,10,103.874076726738
854,"forage_phonologicaldynamiclocal_multimodaldelta_alpha=0.9_rise=0.75_fall=0.25",5.616822025846,6.918783491798,-0.32481223983887,130.880579271232,"V1",3,22,271.034285902538
855,"forage_phonologicaldynamiclocal_delta_rise=0.5_fall=0.5",3.89089328521268,5.58969523470883,-0.185868013611854,177.064372456457,"V1",3,29,364.230632402873
856,"forage_phonologicaldynamicswitch_multimodaldelta_alpha=0.5_rise=0.25_fall=0.25",6.43354798226691,3.2472603975337,-4.10088148568235,108.626689961694,"V1",3,19,226.086696860888
